# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 350 MeV

0.000 1.797029E-01
9.000 1.348298E-01
18.000 9.324276E-02
27.000 5.776526E-02
36.000 3.723360E-02
45.000 3.417581E-02
54.000 2.882590E-02
63.000 1.405453E-02
72.000 -6.438002E-03
81.000 -2.959639E-02
90.000 -5.475880E-02
99.000 -8.295749E-02
108.000 -1.159024E-01
117.000 -1.509469E-01
126.000 -1.639478E-01
135.000 -1.304522E-01
144.000 -8.449856E-02
153.000 -4.782998E-02
162.000 -1.347002E-02
171.000 1.434315E-02
180.000 1.269103E-02
