# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 400 MeV

0.000 1.839098E-01
9.000 1.453651E-01
18.000 1.070321E-01
27.000 7.072015E-02
36.000 4.557880E-02
45.000 4.524064E-02
54.000 5.142690E-02
63.000 4.693615E-02
72.000 3.246961E-02
81.000 1.167353E-02
90.000 -1.400717E-02
99.000 -4.559748E-02
108.000 -8.582265E-02
117.000 -1.333057E-01
126.000 -1.618461E-01
135.000 -1.445235E-01
144.000 -1.107168E-01
153.000 -8.020729E-02
162.000 -4.231116E-02
171.000 1.232710E-02
180.000 2.417712E-02
