# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 150 MeV

0.000 1.219790E-01
9.000 6.697844E-02
18.000 2.046370E-02
27.000 -1.510166E-02
36.000 -3.240600E-02
45.000 -3.350132E-02
54.000 -3.207543E-02
63.000 -3.206721E-02
72.000 -3.103531E-02
81.000 -2.767651E-02
90.000 -2.226388E-02
99.000 -1.616800E-02
108.000 -1.124942E-02
117.000 -5.873559E-03
126.000 4.386173E-03
135.000 1.750880E-02
144.000 2.985505E-02
153.000 3.948124E-02
162.000 3.576008E-02
171.000 2.145928E-03
180.000 -1.714913E-02
