# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 450 MeV

0.000 1.367025E-01
9.000 1.122714E-01
18.000 8.662692E-02
27.000 6.091228E-02
36.000 4.174587E-02
45.000 4.201083E-02
54.000 5.162929E-02
63.000 5.380298E-02
72.000 4.650260E-02
81.000 3.238786E-02
90.000 1.297390E-02
99.000 -1.232324E-02
108.000 -4.535995E-02
117.000 -8.355656E-02
126.000 -1.078231E-01
135.000 -1.053352E-01
144.000 -9.185201E-02
153.000 -7.833220E-02
162.000 -5.498934E-02
171.000 2.454286E-03
180.000 2.204275E-02
