# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 550 MeV

0.000 6.693397E-03
9.000 6.461601E-03
18.000 6.263871E-03
27.000 6.197615E-03
36.000 6.381366E-03
45.000 6.833300E-03
54.000 7.322475E-03
63.000 7.518960E-03
72.000 7.285433E-03
81.000 6.603968E-03
90.000 5.404617E-03
99.000 3.692591E-03
108.000 1.747494E-03
117.000 -1.058351E-04
126.000 -1.801621E-03
135.000 -3.509927E-03
144.000 -5.579390E-03
153.000 -8.520558E-03
162.000 -1.132678E-02
171.000 -9.454646E-03
180.000 -6.528147E-03
