# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 600 MeV

0.000 -4.879146E-02
9.000 -4.569340E-02
18.000 -4.208007E-02
27.000 -3.710672E-02
36.000 -2.992631E-02
45.000 -2.126191E-02
54.000 -1.352629E-02
63.000 -8.146843E-03
72.000 -4.876011E-03
81.000 -2.930491E-03
90.000 -1.663311E-03
99.000 -7.358890E-04
108.000 -3.971656E-05
117.000 4.595257E-04
126.000 7.668132E-04
135.000 8.391047E-04
144.000 5.358794E-04
153.000 -5.336445E-04
162.000 -2.901067E-03
171.000 -5.094027E-03
180.000 -6.224068E-03
