# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 650 MeV

0.000 -1.678872E-01
9.000 -4.543903E-02
18.000 7.736589E-04
27.000 1.506429E-02
36.000 3.168474E-03
45.000 -3.536457E-02
54.000 -5.130008E-02
63.000 -2.500479E-02
72.000 -2.297026E-02
81.000 -9.378264E-03
90.000 2.548366E-02
99.000 -9.378264E-03
108.000 -2.297026E-02
117.000 -2.500479E-02
126.000 -5.130008E-02
135.000 -3.536457E-02
144.000 3.168474E-03
153.000 1.506429E-02
162.000 7.736589E-04
171.000 -4.543903E-02
180.000 -1.678872E-01
