# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 450 MeV

0.000 7.563918E-02
9.000 2.634242E-02
18.000 -4.882212E-03
27.000 -1.538280E-02
36.000 -2.023925E-02
45.000 -1.613629E-02
54.000 -1.350395E-03
63.000 1.054013E-02
72.000 1.113616E-02
81.000 6.406499E-03
90.000 -1.095328E-02
99.000 6.406499E-03
108.000 1.113616E-02
117.000 1.054013E-02
126.000 -1.350395E-03
135.000 -1.613629E-02
144.000 -2.023925E-02
153.000 -1.538280E-02
162.000 -4.882212E-03
171.000 2.634242E-02
180.000 7.563918E-02
