# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 100 MeV

0.000 -2.228339E-01
9.000 -1.128519E-01
18.000 -3.907073E-02
27.000 9.732397E-04
36.000 3.525442E-02
45.000 5.420757E-02
54.000 2.213817E-02
63.000 -1.867379E-02
72.000 -2.701103E-02
81.000 -4.622140E-03
90.000 3.180945E-02
99.000 -4.622140E-03
108.000 -2.701103E-02
117.000 -1.867379E-02
126.000 2.213817E-02
135.000 5.420757E-02
144.000 3.525442E-02
153.000 9.732397E-04
162.000 -3.907073E-02
171.000 -1.128519E-01
180.000 -2.228339E-01
