# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 500 MeV

0.000 1.751824E-01
9.000 5.619238E-02
18.000 1.049452E-03
27.000 -3.306091E-02
36.000 -5.557891E-02
45.000 -4.838055E-02
54.000 -1.696254E-02
63.000 -1.792570E-05
72.000 3.447855E-03
81.000 2.134481E-03
90.000 -7.360394E-03
99.000 2.134481E-03
108.000 3.447855E-03
117.000 -1.792570E-05
126.000 -1.696254E-02
135.000 -4.838055E-02
144.000 -5.557891E-02
153.000 -3.306091E-02
162.000 1.049452E-03
171.000 5.619238E-02
180.000 1.751824E-01
