# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 900 MeV

0.000 -8.602614E-02
9.000 -8.029834E-03
18.000 2.184300E-02
27.000 4.513844E-02
36.000 3.646924E-02
45.000 7.735899E-03
54.000 -1.480566E-02
63.000 -1.657477E-02
72.000 -2.753367E-02
81.000 -2.202662E-02
90.000 -7.969622E-03
99.000 -2.202662E-02
108.000 -2.753367E-02
117.000 -1.657477E-02
126.000 -1.480566E-02
135.000 7.735899E-03
144.000 3.646924E-02
153.000 4.513844E-02
162.000 2.184300E-02
171.000 -8.029834E-03
180.000 -8.602614E-02
