# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 550 MeV

0.000 9.289774E-02
9.000 3.487805E-02
18.000 2.001669E-03
27.000 -1.736434E-02
36.000 -4.208051E-02
45.000 -5.223000E-02
54.000 -3.131076E-02
63.000 -8.971257E-03
72.000 -7.853482E-03
81.000 -3.192930E-03
90.000 1.131697E-03
99.000 -3.192930E-03
108.000 -7.853482E-03
117.000 -8.971257E-03
126.000 -3.131076E-02
135.000 -5.223000E-02
144.000 -4.208051E-02
153.000 -1.736434E-02
162.000 2.001669E-03
171.000 3.487805E-02
180.000 9.289774E-02
