# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 700 MeV

0.000 -1.913865E-01
9.000 -5.249978E-02
18.000 2.207471E-03
27.000 2.143668E-02
36.000 1.323673E-02
45.000 -3.030405E-02
54.000 -5.915443E-02
63.000 -3.534255E-02
72.000 -2.214566E-02
81.000 -9.049153E-03
90.000 2.638961E-02
99.000 -9.049153E-03
108.000 -2.214566E-02
117.000 -3.534255E-02
126.000 -5.915443E-02
135.000 -3.030405E-02
144.000 1.323673E-02
153.000 2.143668E-02
162.000 2.207471E-03
171.000 -5.249978E-02
180.000 -1.913865E-01
