# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 300 MeV

0.000 -2.037940E-01
9.000 -1.349455E-01
18.000 -8.293395E-02
27.000 -1.499589E-02
36.000 9.235954E-03
45.000 5.238315E-03
54.000 -6.191998E-03
63.000 -2.529199E-02
72.000 -2.587684E-02
81.000 -1.860651E-02
90.000 1.979847E-02
99.000 -1.860651E-02
108.000 -2.587684E-02
117.000 -2.529199E-02
126.000 -6.191998E-03
135.000 5.238315E-03
144.000 9.235954E-03
153.000 -1.499589E-02
162.000 -8.293395E-02
171.000 -1.349455E-01
180.000 -2.037940E-01
