# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 600 MeV

0.000 1.339814E-01
9.000 6.483027E-02
18.000 9.656386E-03
27.000 6.747161E-03
36.000 -1.420223E-02
45.000 -2.721175E-02
54.000 -1.808217E-02
63.000 -4.746502E-03
72.000 -1.818087E-03
81.000 3.274312E-03
90.000 1.424084E-02
99.000 3.274312E-03
108.000 -1.818087E-03
117.000 -4.746502E-03
126.000 -1.808217E-02
135.000 -2.721175E-02
144.000 -1.420223E-02
153.000 6.747161E-03
162.000 9.656386E-03
171.000 6.483027E-02
180.000 1.339814E-01
