# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 900 MeV

0.000 1.944624E-01
9.000 6.723793E-02
18.000 2.834111E-02
27.000 1.350763E-02
36.000 1.328773E-02
45.000 2.747560E-02
54.000 2.826193E-02
63.000 1.831947E-02
72.000 2.053719E-02
81.000 4.330566E-03
90.000 -2.586461E-02
99.000 4.330566E-03
108.000 2.053719E-02
117.000 1.831947E-02
126.000 2.826193E-02
135.000 2.747560E-02
144.000 1.328773E-02
153.000 1.350763E-02
162.000 2.834111E-02
171.000 6.723793E-02
180.000 1.944624E-01
