# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 800 MeV

0.000 8.166249E-02
9.000 5.359792E-02
18.000 1.989132E-02
27.000 4.279726E-03
36.000 4.753490E-03
45.000 1.553585E-02
54.000 3.237441E-02
63.000 3.617274E-02
72.000 2.564413E-02
81.000 2.730408E-03
90.000 -3.064929E-02
99.000 2.730408E-03
108.000 2.564413E-02
117.000 3.617274E-02
126.000 3.237441E-02
135.000 1.553585E-02
144.000 4.753490E-03
153.000 4.279726E-03
162.000 1.989132E-02
171.000 5.359792E-02
180.000 8.166249E-02
