# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 250 MeV

0.000 -3.072431E-01
9.000 -1.919290E-01
18.000 -1.048437E-01
27.000 -1.772977E-02
36.000 1.060117E-02
45.000 6.434843E-03
54.000 -1.587464E-02
63.000 -4.060101E-02
72.000 -3.868133E-02
81.000 -2.697108E-02
90.000 3.181033E-02
99.000 -2.697108E-02
108.000 -3.868133E-02
117.000 -4.060101E-02
126.000 -1.587464E-02
135.000 6.434843E-03
144.000 1.060117E-02
153.000 -1.772977E-02
162.000 -1.048437E-01
171.000 -1.919290E-01
180.000 -3.072431E-01
