# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 400 MeV

0.000 -5.053676E-03
9.000 -6.581999E-03
18.000 -8.463137E-03
27.000 -3.666751E-03
36.000 -2.634274E-04
45.000 1.982713E-03
54.000 5.797214E-03
63.000 8.148697E-03
72.000 5.633208E-03
81.000 2.106203E-03
90.000 -4.522038E-03
99.000 2.106203E-03
108.000 5.633208E-03
117.000 8.148697E-03
126.000 5.797214E-03
135.000 1.982713E-03
144.000 -2.634274E-04
153.000 -3.666751E-03
162.000 -8.463137E-03
171.000 -6.581999E-03
180.000 -5.053676E-03
