# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 500 MeV

0.000 1.938925E-01
9.000 7.933551E-02
18.000 1.161767E-02
27.000 7.710177E-04
36.000 -1.749473E-02
45.000 -1.594038E-02
54.000 -2.581314E-04
63.000 5.073937E-03
72.000 7.582832E-03
81.000 7.732725E-03
90.000 2.287639E-03
99.000 7.732725E-03
108.000 7.582832E-03
117.000 5.073937E-03
126.000 -2.581314E-04
135.000 -1.594038E-02
144.000 -1.749473E-02
153.000 7.710177E-04
162.000 1.161767E-02
171.000 7.933551E-02
180.000 1.938925E-01
