# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 650 MeV

0.000 1.095095E-01
9.000 5.510907E-02
18.000 8.699656E-03
27.000 8.430254E-03
36.000 -5.962885E-03
45.000 -1.626946E-02
54.000 -1.219818E-02
63.000 -3.388341E-03
72.000 -1.184430E-03
81.000 1.575661E-03
90.000 6.692183E-03
99.000 1.575661E-03
108.000 -1.184430E-03
117.000 -3.388341E-03
126.000 -1.219818E-02
135.000 -1.626946E-02
144.000 -5.962885E-03
153.000 8.430254E-03
162.000 8.699656E-03
171.000 5.510907E-02
180.000 1.095095E-01
