# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 950 MeV

0.000 1.362600E-01
9.000 5.315628E-02
18.000 3.224157E-02
27.000 1.823226E-02
36.000 4.801645E-03
45.000 3.770245E-03
54.000 7.027816E-03
63.000 7.422475E-03
72.000 5.273351E-03
81.000 3.358729E-03
90.000 -2.287769E-03
99.000 3.358729E-03
108.000 5.273351E-03
117.000 7.422475E-03
126.000 7.027816E-03
135.000 3.770245E-03
144.000 4.801645E-03
153.000 1.823226E-02
162.000 3.224157E-02
171.000 5.315628E-02
180.000 1.362600E-01
