#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Mashnik's calculation on pi+Fe x-sections
# Hadron kinetic energy (KE) in MeV, x-section in millibarns
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# KE	p	2p	3p	n	2n	3n	n+p	n+2p	n+3p	2n+p	2n+2p	pi0 
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 0.00   0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.
50.00	62.72	22.62	5.94	47.15	19.13	0.00	61.86	35.19	28.14	14.16	21.98	108.
100.00	91.31	27.77	9.13	49.38	23.95	2.33	92.62	55.20	31.89	47.11	42.50	194.
150.00	80.60	21.80	8.50	46.87	19.19	2.63	70.31	50.60	32.87	44.71	53.97	221.
200.00	53.51	14.16	5.77	41.35	14.55	1.97	45.85	33.57	24.00	29.85	39.16	201.
250.00	40.74	10.35	4.12	37.84	13.05	1.47	35.55	24.32	17.15	22.02	27.32	184.
300.00	35.50	8.68	3.27	34.01	13.21	1.39	32.89	20.83	13.60	20.14	22.77	174.
350.00	32.89	7.36	2.68	33.01	13.72	1.45	31.22	17.45	10.30	19.56	19.63	167.
400.00	31.31	6.34	2.14	33.84	14.51	1.58	30.92	15.63	8.44	20.44	19.24	164.
450.00	30.46	5.57	1.75	35.31	15.44	1.86	30.74	14.31	7.16	21.48	19.64	170.
500.00	29.87	4.93	1.47	36.95	15.86	2.13	29.80	13.41	6.28	22.22	20.20	184.
550.00	27.68	4.44	1.30	36.57	15.25	2.34	27.61	12.60	5.73	22.20	20.39	204.
600.00	23.98	4.02	1.15	33.59	14.00	2.35	24.49	11.76	5.26	20.88	19.76	227.
650.00	20.43	3.74	1.09	29.99	12.46	2.37	21.67	11.25	5.05	19.61	19.15	252.
700.00	18.55	3.75	1.06	27.74	11.37	2.39	20.09	11.20	5.02	19.16	19.16	279.
750.00	18.36	3.80	1.06	27.07	10.69	2.59	19.25	11.53	5.03	19.16	19.38	304.
800.00	18.86	3.83	1.03	27.17	10.35	2.73	19.12	11.63	5.04	19.30	19.66	324.
850.00	19.16	3.77	0.00	27.07	10.00	2.81	18.51	11.29	4.94	19.01	19.25	337.
900.00	18.73	3.57	0.00	26.21	9.78	2.84	17.85	10.62	4.69	18.26	18.48	346.
950.00	17.90	3.35	0.00	25.00	9.34	2.74	17.09	10.01	4.38	17.61	17.64	353.
1000.00	17.10	3.21	0.00	24.17	9.13	2.61	16.74	9.70	4.28	17.24	17.40	361.
