#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Mashnik's calculation on p+Fe x-sections
# Hadron kinetic energy (KE) in MeV, x-section in millibarns
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# KE     p	n+p	2p	n+2p	pi-	2n+2p	pi0	2n+p	pi+	n	reac	elas
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 0.      0.       0.     0.       0.    0.       0.     0.       0.     0.	0.	0.	0.
50.00	88.63	175.51	43.96	129.06	0.00	70.55	0.00	70.55	0.00	30.1	952.	740.
100.00	50.02	104.26	41.51	61.82	0.00	77.37	0.00	71.47	0.00	17.0	776.	771.
150.00	32.55	80.16	35.13	45.05	0.00	54.48	0.00	49.31	0.00	11.4	695.	763.
200.00	24.44	71.44	33.09	39.65	0.04	46.18	0.18	42.44	0.06	9.1	661.	757.
250.00	19.55	67.18	32.94	37.38	0.29	42.47	1.22	38.69	0.63	7.8	650.	755.
300.00	16.24	64.49	32.99	35.68	1.07	39.88	3.98	36.16	2.37	7.1	650.	750.
350.00	13.78	62.45	32.78	33.96	2.74	35.91	9.37	32.92	5.84	6.4	655.	739.
400.00	11.87	60.13	32.19	31.99	5.54	34.11	17.91	30.86	11.38	6.0	662.	724.
450.00	10.39	57.98	31.43	29.79	9.49	32.31	29.47	28.94	19.00	5.6	671.	704.
500.00	9.39	55.33	30.02	27.31	14.42	30.90	43.33	27.02	28.81	5.3	679.	683.
550.00	8.58	52.51	27.99	25.00	20.10	29.91	58.68	25.11	39.71	5.0	688.	664.
600.00	7.98	49.87	25.80	22.67	26.37	29.04	74.40	23.43	51.50	4.8	696.	648.
650.00	7.55	47.58	23.64	20.73	33.42	28.35	89.48	21.97	63.47	4.7	703.	636.
700.00	7.25	45.29	21.67	19.07	40.66	27.69	104.11	20.63	75.28	4.5	710.	629.
750.00	7.01	43.24	20.30	17.73	48.51	27.32	118.32	19.48	86.14	4.5	716.	624.
800.00	6.76	41.23	18.96	16.75	56.85	26.57	132.43	18.31	97.12	4.4	722.	623.
850.00	6.55	39.07	18.22	15.82	65.66	26.05	146.70	17.40	107.54	4.3	726.	622.
900.00	6.35	36.68	17.33	15.10	74.94	25.47	160.99	16.39	117.99	4.1	730.	621.
950.00	6.20	34.53	16.60	14.48	84.19	24.81	175.36	15.61	128.37	4.0	733.	621.
1000.00	6.03	32.75	16.14	14.12	93.13	24.94	189.48	15.20	138.14	3.9	735.	621.

