## pi+ -> fe-56
## File generated by MakeTextFiles.cxx
## KE    tot_xs     
85       1900.         
125      1915.         
165      1840.         
205      1750.         
245      1610.         
315      1400.         
0        186.296       
50       529.184       
100      667.19        
150      653.05        
200      504.74        
250      417.93        
300      380.29        
350      356.27        
400      348.39        
450      353.72        
500      367.12        
550      380.11        
600      388.24        
650      398.81        
700      418.49        
750      441.92        
800      462.72        
850      472.81        
900      477.03        
950      478.06        
1000     482.58        
