## pi+ -> o-16
## File generated by MakeTextFiles.cxx
## KE    tot_xs     
89.      674.3         
115.     749.1         
128.     783.1         
156.     818.2         
187.     772.6         
229.     688.9         
0        68.0489       
50       189.138       
100      260.307       
150      256.618       
200      200.663       
250      167.693       
300      152.991       
350      143.745       
400      140.689       
450      143.114       
500      149.071       
550      155.095       
600      159.339       
650      164.562       
700      173.378       
750      183.604       
800      192.61        
850      197.259       
900      199.395       
950      200.186       
1000     202.309       
