-0.975 0.0 0.0
-0.925 0.0 0.0
-0.875 0.0 0.0
-0.825 0.0 0.0
-0.775 0.0 0.0
-0.725 0.0 0.0
-0.675 0.0040 0.0024
-0.625 0.0 0.0
-0.575 0.0037 0.0027
-0.525 0.0130 0.0050
-0.475 0.0063 0.0038
-0.425 0.0204 0.0060
-0.375 0.0283 0.0070
-0.325 0.0520 0.0094
-0.275 0.0514 0.0089
-0.225 0.0653 0.0090
-0.175 0.088  0.010
-0.125 0.139  0.012
-0.075 0.173  0.013
-0.025 0.202  0.014
0.025 0.206 0.013
0.075 0.205 0.014
0.125 0.218 0.015
0.175 0.226 0.017
0.225 0.164 0.014
0.275 0.169 0.015
0.325 0.155 0.015
0.375 0.108 0.013
0.425 0.086 0.012
0.475 0.093 0.013
0.525 0.086 0.012
0.575 0.050 0.010
0.625 0.053 0.011
0.675 0.037 0.010
0.725 0.060 0.014
0.775 0.045 0.013
0.825 0.045 0.015
0.875 0.0142 0.0086
0.925 0.0054 0.0056
0.975 0.056  0.032
