-0.975 0.0    0.0
-0.925 0.0    0.0
-0.875 0.0006 0.0007
-0.825 0.0005 0.0005
-0.775 0.0036 0.0019
-0.725 0.0071 0.0026
-0.675 0.0066 0.0023
-0.625 0.0078 0.0024
-0.575 0.0174 0.0037
-0.525 0.0198 0.0036
-0.475 0.0369 0.0049
-0.425 0.0570 0.0062
-0.375 0.0674 0.0062
-0.325 0.0967 0.0076
-0.275 0.1276 0.0082
-0.225 0.1452 0.0084
-0.175 0.203  0.010
-0.125 0.206  0.010
-0.075 0.242  0.011
-0.025 0.256  0.012
 0.025 0.243  0.012
 0.075 0.224  0.012
 0.125 0.205  0.011
 0.175 0.182  0.011
 0.225 0.170  0.010
 0.275 0.1589 0.0098
 0.325 0.1327 0.0087
 0.375 0.1144 0.0081
 0.425 0.0968 0.0074
 0.475 0.0915 0.0074
 0.525 0.0809 0.0070
 0.575 0.0622 0.0066
 0.625 0.0527 0.0062
 0.675 0.0520 0.0067
 0.725 0.0353 0.0058
 0.775 0.0410 0.0070
 0.825 0.0182 0.0051
 0.875 0.0158 0.0051
 0.925 0.0169 0.0063
 0.975 0.0236 0.0082
