#------------------------------------------------------------------
# GENIE Hadronization Tuning Data:
#      <pT^2> vs W2 for Charged Hadrons
# Source:
#
# Digitizer:
#      Data copied from T.Yang's [1] plots digitization files
# Conventions:
#      nu  : 1->neutrino, -1->anti-neutrino
#      tgt : 2->D2,
#      cut : 1-> xF cut, xF>0.3
#           -1-> xF cut, xF<0.3
# -----------------------------------------------------------------
# nu   tgt   W2    <pT^2>   d<pT^2>   cut
  1    2      6.22  0.132    0.012    1
  1    2     12.43  0.186    0.012    1
  1    2     20.21  0.232    0.012    1
  1    2     31.09  0.279    0.023    1
  1    2     55.96  0.356    0.027    1
  1    2     99.48  0.456    0.035    1
  1    2    170.98  0.687    0.097    1
  1    2      6.22  0.171    0.016   -1
  1    2     12.43  0.155    0.012   -1
  1    2     20.21  0.201    0.012   -1
  1    2     35.75  0.279    0.039   -1
  1    2     55.96  0.247    0.035   -1
  1    2     99.48  0.254    0.027   -1
  1    2    170.98  0.283    0.035   -1
