#------------------------------------------------------------------
# GENIE Hadronization Tuning Data:
#      Normalized Topological Cross Sections
# Source:
#     P. Allen et al., Nucl.Phys.B181,385-402(1981)
# Digitizer:
#      P.Kehayias
# Conventions:
#      nu   : 1->neutrino, -1->antineutrino
#      nuc  : hit nucleon PDG code
#      n    : charged hadron multiplicity
#      P    : P(charged hadron multiplicity)
#      +dP  : + error on P
#      -dP  : - error on P
#      W2   : squared hadronic invariant mass
# Cuts:
#
#------------------------------------------------------------------
# vp (vH2)
# -----------------------------------------------------------------
#nu   nuc   n    W2	P	+dP	-dP
#
 1    2212   2   1.59	1.000	0.000	0.000
 1    2212   2   2.61	0.993	0.070	0.066
 1    2212   2   3.61	0.934	0.066	0.056
 1    2212   2   5.19	0.735	0.052	0.049
 1    2212   2   7.19	0.544	0.038	0.032
 1    2212   2   10.12	0.333	0.021	0.020
 1    2212   2   14.40	0.216	0.015	0.014
 1    2212   2   23.19	0.145	0.010	0.009
 1    2212   2   45.70	0.078	0.010	0.008
 1    2212   2   86.97	0.048	0.009	0.006
 1    2212   2  176.11	0.027	0.013	0.008
 1    2212   4    2.56	0.012	0.007	0.007
 1    2212   4    3.58	0.084	0.015	0.016
 1    2212   4    5.15	0.264	0.023	0.019
 1    2212   4    7.19	0.440	0.034	0.032
 1    2212   4   10.12	0.559	0.000	0.000
 1    2212   4   14.29	0.583	0.000	0.000
 1    2212   4   23.28	0.478	0.000	0.000
 1    2212   4   45.88	0.328	0.023	0.020
 1    2212   4   89.71	0.227	0.018	0.022
 1    2212   4  174.75	0.145	0.026	0.025
 1    2212   6    5.07	0.001	0.001	0.001
 1    2212   6    7.14	0.028	0.006	0.006
 1    2212   6   10.08	0.116	0.011	0.010
 1    2212   6   14.79	0.201	0.026	0.018
 1    2212   6   23.28	0.315	0.000	0.000
 1    2212   6   45.88	0.395	0.000	0.000
 1    2212   6   87.31	0.328	0.028	0.022
 1    2212   6  176.80	0.324	0.050	0.045
 1    2212   8   10.00	0.004	0.002	0.002
 1    2212   8   14.12	0.025	0.005	0.006
 1    2212   8   23.19	0.073	0.007	0.007
 1    2212   8   45.88	0.159	0.012	0.011
 1    2212   8   87.31	0.273	0.006	0.006
 1    2212   8  185.22	0.324	0.037	0.034
 1    2212  10   14.07	0.001	0.001	0.001
 1    2212  10   23.01	0.010	0.002	0.002
 1    2212  10   45.52	0.062	0.000	0.006
 1    2212  10   86.97	0.121	0.014	0.015
 1    2212  10  184.50	0.135	0.033	0.032
 1    2212  12   22.92	0.001	0.001	0.001
 1    2212  12   45.35	0.007	0.002	0.003
 1    2212  12   86.64	0.038	0.008	0.008
 1    2212  12  176.80	0.074	0.023	0.021
