#----------------------------------------------------------------------------
# GENIE Hadronization Tuning Data:
#      Nucleon xF distribution
# Source:
#      Cooper, Neutrino 82 proceedings
# Digitizer:
#      C.Andreopoulos
# Conventions:
#      xF : Feynman x (pL/pLmax)
#      P  : (1/N)dN/dxF
# Cuts:
#
# ---------------------------------------------------------------------------
#   xF            P            -dxF          +dxF        -dP          +dP
-0.94781       0.018116       0.02273       0.02922    0.004716     0.004858
-0.84431       0.035965       0.02597       0.02597    0.006549     0.006429
-0.75044       0.059474       0.01948       0.02921    0.008556     0.007500
-0.64334       0.063433       0.03571       0.02272    0.008126     0.010659
-0.54612       0.087377       0.02273       0.02598    0.009789     0.011019
-0.44541       0.078339       0.02922       0.02922    0.008775     0.007494
-0.34806       0.086661       0.02597       0.02598    0.009001     0.009163
-0.24721       0.061267       0.03246       0.01949    0.009292     0.005250
-0.14347       0.079894       0.02272       0.02923    0.009596     0.009257
-0.04588       0.057524       0.02922       0.02923    0.010043     0.007850
 0.05830       0.035460       0.03570       0.02599    0.006458     0.006337
 0.15896       0.034834       0.02923       0.02598    0.006344     0.007368
 0.24404       0.010920       0.02922       0.04870    0.003681     0.003709
 0.35443       0.010925       0.02273       0.02597    0.003550     0.003314
 0.44893       0.005980       0.01949       0.03246    0.002648     0.002638
 0.54297       0.007314       0.01622       0.03247    0.003048     0.003036
 0.74532       0.001199       0.02273       0.01948    0.001095     0.001202
