#------------------------------------------------------------------
# GENIE Hadronization Tuning Data:
#      Seagull plot data: <pT^2> vs xF
# Source:
#
# Digitizer:
#      Data copied from T.Yang's [1] plots digitization files
# Conventions:
#      nu  : 1->neutrino, -1->anti-neutrino
#      nuc : hit nucleon PDG code (2212->p, 2112->n)
#      Wi  : W interval
#            0: low  W,  9 GeV^2 < W2 < 25 GeV^2
#            1: high W, 40 GeV^2 < W2       
# -----------------------------------------------------------------
# nu   nuc   xF      <pT^2>  d<pT^2>   Wi
  1    2212  -0.700  0.282   0.007     0
  1    2212  -0.500  0.281   0.054     0
  1    2212  -0.340  0.252   0.040     0
  1    2212  -0.256  0.203   0.013     0
  1    2212  -0.151  0.176   0.013     0
  1    2212  -0.057  0.121   0.013     0
  1    2212   0.038  0.110   0.013     0
  1    2212   0.155  0.146   0.013     0
  1    2212   0.251  0.172   0.013     0
  1    2212   0.357  0.225   0.013     0
  1    2212   0.506  0.262   0.032     0
  1    2212   0.760  0.233   0.043     0
  1    2212  -0.647  0.287   0.059     1 
  1    2212  -0.497  0.399   0.043     1
  1    2212  -0.339  0.381   0.035     1
  1    2212  -0.256  0.279   0.011     1
  1    2212  -0.140  0.208   0.011     1
  1    2212  -0.014  0.132   0.011     1
  1    2212   0.091  0.115   0.011     1
  1    2212   0.156  0.184   0.011     1
  1    2212   0.252  0.253   0.011     1
  1    2212   0.359  0.343   0.035     1
  1    2212   0.498  0.460   0.035     1
  1    2212   0.753  0.523   0.075     1
  1    2112  -0.697  0.421   0.120     0   
  1    2112  -0.497  0.263   0.048     0 
  1    2112  -0.338  0.208   0.024     0 
  1    2112  -0.242  0.207   0.013     0 
  1    2112  -0.136  0.173   0.013     0 
  1    2112  -0.041  0.118   0.013     0 
  1    2112   0.065  0.107   0.013     0 
  1    2112   0.172  0.138   0.013     0 
  1    2112   0.268  0.153   0.013     0 
  1    2112   0.364  0.200   0.013     0 
  1    2112   0.513  0.188   0.013     0 
  1    2112   0.768  0.190   0.028     0 
  1    2112  -0.687  0.324   0.150     1  
  1    2112  -0.493  0.494   0.060     1
  1    2112  -0.347  0.337   0.038     1
  1    2112  -0.241  0.271   0.011     1
  1    2112  -0.136  0.200   0.011     1
  1    2112   0.002  0.129   0.011     1
  1    2112   0.066  0.134   0.011     1
  1    2112   0.162  0.191   0.011     1
  1    2112   0.269  0.266   0.011     1
  1    2112   0.366  0.356   0.011     1
  1    2112   0.506  0.440   0.032     1
  1    2112   0.783  0.480   0.054     1

