## pi+ -> ni-58
## File generated by MakeTextFiles.cxx
## KE    pipro_xs   
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      83.9409       
450      174.024       
500      188.355       
550      208.829       
600      232.373       
650      257.965       
700      285.604       
750      311.196       
800      331.669       
850      344.977       
900      354.19        
950      361.356       
1000     369.545       
