## pi+ -> d-2
## File generated by MakeTextFiles.cxx
## KE    pipro_xs   
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      8.89287       
450      18.4364       
500      19.9547       
550      22.1237       
600      24.6181       
650      27.3293       
700      30.2574       
750      32.9687       
800      35.1377       
850      36.5475       
900      37.5236       
950      38.2827       
1000     39.1503       
