## pi+ -> he-4
## File generated by MakeTextFiles.cxx
## KE    pipro_xs   
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      14.1165       
450      29.266        
500      31.6762       
550      35.1192       
600      39.0787       
650      43.3826       
700      48.0307       
750      52.3345       
800      55.7776       
850      58.0156       
900      59.5649       
950      60.77         
1000     62.1472       
