# K+N->K0P
# Angle vs. Cross-section (millibarns)
# 900 MeV

  0	0.4488E-04
  5	0.4805E-01
 10	0.1574E+00
 15	0.2910E+00
 20	0.4283E+00
 25	0.5508E+00
 30	0.6430E+00
 35	0.6959E+00
 40	0.7082E+00
 45	0.6813E+00
 50	0.6310E+00
 55	0.5691E+00
 60	0.5047E+00
 65	0.4442E+00
 70	0.3909E+00
 75	0.3459E+00
 80	0.3084E+00
 85	0.2772E+00
 90	0.2508E+00
 95	0.2283E+00
100	0.2089E+00
105	0.1918E+00
110	0.1768E+00
115	0.1635E+00
120	0.1517E+00
125	0.1413E+00
130	0.1321E+00
135	0.1236E+00
140	0.1150E+00
145	0.1052E+00
150	0.9309E-01
155	0.7840E-01
160	0.6171E-01
165	0.4474E-01
170	0.2991E-01
175	0.1975E-01
180	0.1613E-01

