# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 950 MeV

0.000 1.537341E-01
9.000 9.844976E-02
18.000 5.174681E-02
27.000 6.941741E-03
36.000 -4.122144E-02
45.000 -8.180986E-02
54.000 -1.065558E-01
63.000 -1.215025E-01
72.000 -1.314294E-01
81.000 -1.374992E-01
90.000 -1.388071E-01
99.000 -1.334185E-01
108.000 -1.201680E-01
117.000 -1.015398E-01
126.000 -8.483516E-02
135.000 -7.990402E-02
144.000 -9.819758E-02
153.000 -1.556776E-01
162.000 -2.343732E-01
171.000 -2.083562E-01
180.000 -1.513226E-01
