# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 800 MeV

0.000 2.697177E-02
9.000 7.581027E-03
18.000 -3.236805E-02
27.000 -9.716788E-02
36.000 -1.449611E-01
45.000 -1.547738E-01
54.000 -1.486790E-01
63.000 -1.348192E-01
72.000 -1.108600E-01
81.000 -7.201701E-02
90.000 -2.115553E-02
99.000 2.584979E-02
108.000 5.728887E-02
117.000 7.399536E-02
126.000 8.041218E-02
135.000 7.941766E-02
144.000 7.125623E-02
153.000 5.182418E-02
162.000 1.627234E-02
171.000 -1.185867E-02
180.000 -1.919988E-02
