# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 650 MeV

0.000 9.280498E-02
9.000 8.938260E-02
18.000 8.130847E-02
27.000 6.242875E-02
36.000 3.663767E-02
45.000 1.667211E-02
54.000 5.173302E-03
63.000 -8.068241E-04
72.000 -3.786768E-03
81.000 -5.256259E-03
90.000 -6.062849E-03
99.000 -6.648859E-03
108.000 -7.159207E-03
117.000 -7.586734E-03
126.000 -7.892637E-03
135.000 -8.006809E-03
144.000 -7.775958E-03
153.000 -6.736398E-03
162.000 -3.404953E-03
171.000 2.312296E-03
180.000 6.318189E-03
