# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 300 MeV

0.000 2.076852E-02
9.000 2.010085E-02
18.000 1.852726E-02
27.000 1.692355E-02
36.000 1.835775E-02
45.000 2.386310E-02
54.000 2.963457E-02
63.000 3.373855E-02
72.000 3.652385E-02
81.000 3.865412E-02
90.000 4.055174E-02
99.000 4.233397E-02
108.000 4.348917E-02
117.000 4.163806E-02
126.000 3.180624E-02
135.000 1.511338E-02
144.000 3.119386E-04
153.000 -1.113819E-02
162.000 -2.195956E-02
171.000 -1.657863E-02
180.000 -5.703694E-03
