# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 750 MeV

0.000 1.979486E-02
9.000 5.080883E-03
18.000 -2.015066E-02
27.000 -5.181627E-02
36.000 -6.167673E-02
45.000 -5.679651E-02
54.000 -4.945013E-02
63.000 -4.108453E-02
72.000 -3.064131E-02
81.000 -1.715963E-02
90.000 -1.802919E-03
99.000 1.177869E-02
108.000 2.107420E-02
117.000 2.636999E-02
126.000 2.890972E-02
135.000 2.961342E-02
144.000 2.872758E-02
153.000 2.502415E-02
162.000 1.484236E-02
171.000 3.113246E-03
180.000 -2.307538E-03
