# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 550 MeV

0.000 3.765025E-02
9.000 2.940518E-02
18.000 2.242874E-02
27.000 1.665915E-02
36.000 1.179549E-02
45.000 7.087266E-03
54.000 1.649865E-03
63.000 -4.710011E-03
72.000 -1.151623E-02
81.000 -1.819832E-02
90.000 -2.389504E-02
99.000 -2.730107E-02
108.000 -2.786075E-02
117.000 -2.653271E-02
126.000 -2.463278E-02
135.000 -2.297715E-02
144.000 -2.197320E-02
153.000 -2.149517E-02
162.000 -1.815309E-02
171.000 -8.898747E-03
180.000 -2.848256E-03
