# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 700 MeV

0.000 6.821923E-02
9.000 7.185564E-02
18.000 6.894410E-02
27.000 4.104225E-02
36.000 1.589610E-02
45.000 3.523518E-03
54.000 -2.614410E-03
63.000 -5.987003E-03
72.000 -8.024613E-03
81.000 -9.292820E-03
90.000 -9.895516E-03
99.000 -9.664711E-03
108.000 -8.494579E-03
117.000 -6.653917E-03
126.000 -4.562504E-03
135.000 -2.413744E-03
144.000 -1.202926E-04
153.000 2.592808E-03
162.000 5.465346E-03
171.000 5.807982E-03
180.000 4.541909E-03
