# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 850 MeV

0.000 4.633229E-02
9.000 2.893833E-02
18.000 -2.287907E-03
27.000 -5.919975E-02
36.000 -1.279145E-01
45.000 -1.687370E-01
54.000 -1.791297E-01
63.000 -1.733749E-01
72.000 -1.572024E-01
81.000 -1.306240E-01
90.000 -9.133911E-02
99.000 -3.715315E-02
108.000 2.920826E-02
117.000 9.381989E-02
126.000 1.363446E-01
135.000 1.461784E-01
144.000 1.227727E-01
153.000 6.110639E-02
162.000 -4.101235E-02
171.000 -1.017913E-01
180.000 -8.821942E-02
