# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 250 MeV

0.000 5.973620E-03
9.000 1.120273E-02
18.000 1.569875E-02
27.000 2.025660E-02
36.000 2.515843E-02
45.000 2.921851E-02
54.000 3.182758E-02
63.000 3.357806E-02
72.000 3.499986E-02
81.000 3.627133E-02
90.000 3.727265E-02
99.000 3.746311E-02
108.000 3.541301E-02
117.000 2.828955E-02
126.000 1.454170E-02
135.000 -4.716511E-04
144.000 -1.116964E-02
153.000 -1.761031E-02
162.000 -1.948136E-02
171.000 -5.904458E-03
180.000 6.727462E-04
