# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 100 MeV

0.000 -4.143244E-03
9.000 -4.704616E-03
18.000 -4.582577E-03
27.000 -3.592332E-03
36.000 -2.092490E-03
45.000 -1.217348E-03
54.000 -6.254527E-04
63.000 4.175924E-04
72.000 1.960583E-03
81.000 3.877319E-03
90.000 5.895216E-03
99.000 7.420034E-03
108.000 7.623188E-03
117.000 6.281263E-03
126.000 4.436414E-03
135.000 4.249025E-03
144.000 6.342952E-03
153.000 8.466986E-03
162.000 6.515104E-03
171.000 -1.478745E-03
180.000 -9.144606E-03
