## pi+ -> ni-58
## File generated by MakeTextFiles.cxx
## KE    cex_frac   
0        0.0489193     
50       0.0619663     
100      0.289856      
150      0.337415      
200      0.397183      
250      0.439231      
300      0.456505      
350      0.467719      
400      0.234859      
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
100      0.151753      
