## pi+ -> d-2
## File generated by MakeTextFiles.cxx
## KE    cex_frac   
0        0.141891      
50       0.191423      
100      0.375092      
150      0.428576      
200      0.489624      
250      0.528956      
300      0.546154      
350      0.555517      
400      0.27834       
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
70       0.0681377     
118      0.185496      
162      0.416405      
239      0.348199      
330      0.174507      
