## pi+ -> li-7
## File generated by MakeTextFiles.cxx
## KE    inelas_frac
125      0.308         
165      0.386         
205      0.498         
245      0.53          
0        0.428169      
50       0.360263      
100      0.249728      
150      0.228461      
200      0.215826      
250      0.212709      
300      0.205905      
350      0.207396      
400      0.209378      
450      0.207547      
500      0.20199       
550      0.186133      
600      0.161772      
650      0.136745      
700      0.118878      
750      0.109989      
800      0.106114      
850      0.103925      
900      0.0998333     
950      0.0948261     
1000     0.0902067     
315      0.42445       
