## pi+ -> ni-58
## File generated by MakeTextFiles.cxx
## KE    inelas_frac
0        0.195677      
50       0.158358      
100      0.210206      
150      0.194617      
200      0.187447      
250      0.18758       
300      0.182366      
350      0.184567      
400      0.186598      
450      0.185546      
500      0.181647      
550      0.168715      
600      0.148034      
650      0.126233      
700      0.110456      
750      0.102665      
800      0.0993509     
850      0.0976599     
900      0.0941003     
950      0.0896401     
1000     0.0854294     
