# Smoothed out versions of the total pion-nucleon cross section used in Rein-Sehgal coherent pi0
# production xsec: D.Rein and L.M.Sehgal,Nucl.Phys.B223:29-144 (1983).
# The data used here are coming from CERN-HERA 79-01, 1979, 
#'Compilation of cross sections I - pi- and pi+ induced reactions'
#
# Tpi (MeV)  sigpi_total (mb)	
0.00000E+0  0.00000E+0
3.96825E+1  5.19320E+0
5.55556E+1  1.40958E+1
8.73016E+1  2.74498E+1
1.11111E+2  4.67388E+1
1.30952E+2  7.02937E+1
1.38889E+2  9.29212E+1
1.46825E+2  1.02751E+2
1.64683E+2  1.12767E+2
1.72619E+2  1.14621E+2
1.84524E+2  1.12767E+2
1.98413E+2  1.00526E+2
2.08333E+2  8.43895E+1
2.16270E+2  7.10355E+1
2.40079E+2  4.95209E+1
2.77778E+2  3.30139E+1
3.23413E+2  2.44822E+1
4.22619E+2  2.41113E+1
4.96032E+2  2.59660E+1
5.25794E+2  3.02318E+1
5.43651E+2  3.44977E+1
5.73413E+2  3.72798E+1
6.09127E+2  3.95054E+1
6.30952E+2  3.63524E+1
6.54762E+2  3.07883E+1
6.94444E+2  2.93045E+1
7.40079E+2  2.94900E+1
7.75794E+2  3.20866E+1
8.05556E+2  3.74652E+1
8.09524E+2  4.24730E+1
8.19444E+2  4.80371E+1
8.51190E+2  5.45286E+1
8.73016E+2  5.78671E+1
9.06746E+2  6.13910E+1
9.36508E+2  5.52705E+1
9.48413E+2  4.63679E+1
9.56349E+2  3.85781E+1
9.94048E+2  3.41267E+1
1.04563E+3  3.07883E+1
1.10119E+3  3.07883E+1
1.15278E+3  3.22720E+1
1.22024E+3  3.50541E+1
1.28373E+3  3.65379E+1
1.34921E+3  3.67233E+1
1.44643E+3  3.50541E+1
1.54960E+3  3.41267E+1
1.69643E+3  3.35703E+1
1.81746E+3  3.35703E+1
1.89881E+3  3.35703E+1
1.97817E+3  3.39413E+1
2.39108E+3  3.24081E+1
2.80801E+3  3.14410E+1
3.58129E+3  3.00966E+1
4.30907E+3  2.87524E+1
5.05209E+3  2.79439E+1
6.00742E+3  2.70803E+1
6.80357E+3  2.65929E+1
7.59974E+3  2.63197E+1
8.17598E+3  2.58337E+1
8.82045E+3  2.52401E+1
9.53319E+3  2.48603E+1
1.00412E+4  2.45355E+1
