## pi+ -> ta-181
## File generated by MakeTextFiles.cxx
## KE    inelas_xs  
0        59.2146       
50       136.194       
100      307.556       
150      278.656       
200      207.369       
250      171.78        
300      151.952       
350      144.061       
400      142.421       
450      143.777       
500      146.072       
550      140.454       
600      125.851       
650      110.221       
700      101.192       
750      99.3123       
800      100.624       
850      101.061       
900      98.2411       
950      93.7816       
1000     90.2183       
