## pi+ -> be-9
## File generated by MakeTextFiles.cxx
## KE    inelas_xs  
0        17.826        
50       40.9999       
100      41.5878       
150      37.68         
200      28.0405       
250      23.2282       
300      20.5471       
350      19.48         
400      19.2583       
450      19.4415       
500      19.7519       
550      18.9922       
600      17.0176       
650      14.9041       
700      13.6833       
750      13.4291       
800      13.6064       
850      13.6655       
900      13.2842       
950      12.6812       
1000     12.1994       
