
   A   KE   XSec
   1    0.  0.856605
   1   50.  39.1415
   1  100.  48.8415
   1  150.  35.7124
   1  200.  24.5369
   1  250.  29.3937
   1  300.  27.8772
   1  350.  27.4196
   1  400.  27.3171
   1  450.  26.9072
   1  500.  26.231
   1  550.  25.3429
   1  600.  24.3524
   1  650.  24.0109
   1  700.  23.601
   1  750.  23.2595
   1  800.  23.0887
   1  850.  23.157
   1  900.  23.362
   1  950.  23.6352
   1 1000.  23.8743

   A   KE   XSec
   7    0.  3.13478
   7   50.  143.24
   7  100.  178.738
   7  150.  130.691
   7  200.  89.7938
   7  250.  107.568
   7  300.  102.018
   7  350.  100.343
   7  400.  99.9681
   7  450.  98.4682
   7  500.  95.9933
   7  550.  92.7436
   7  600.  89.1188
   7  650.  87.8689
   7  700.  86.369
   7  750.  85.1191
   7  800.  84.4941
   7  850.  84.7441
   7  900.  85.4941
   7  950.  86.494
   7 1000.  87.3689

   A   KE   XSec
  14    0.  4.97627
  14   50.  227.385
  14  100.  283.735
  14  150.  207.464
  14  200.  142.542
  14  250.  170.757
  14  300.  161.947
  14  350.  159.288
  14  400.  158.693
  14  450.  156.312
  14  500.  152.383
  14  550.  147.225
  14  600.  141.471
  14  650.  139.486
  14  700.  137.105
  14  750.  135.121
  14  800.  134.129
  14  850.  134.526
  14  900.  135.717
  14  950.  137.304
  14 1000.  138.693

   A   KE   XSec
  40    0.  10.0201
  40   50.  457.858
  40  100.  571.324
  40  150.  417.746
  40  200.  287.02
  40  250.  343.833
  40  300.  326.094
  40  350.  320.741
  40  400.  319.542
  40  450.  314.748
  40  500.  306.837
  40  550.  296.449
  40  600.  284.863
  40  650.  280.868
  40  700.  276.073
  40  750.  272.078
  40  800.  270.08
  40  850.  270.879
  40  900.  273.277
  40  950.  276.473
  40 1000.  279.27

   A   KE   XSec
  63    0.  13.5644
  63   50.  619.809
  63  100.  773.409
  63  150.  565.508
  63  200.  388.544
  63  250.  465.452
  63  300.  441.438
  63  350.  434.191
  63  400.  432.568
  63  450.  426.078
  63  500.  415.37
  63  550.  401.308
  63  600.  385.623
  63  650.  380.215
  63  700.  373.724
  63  750.  368.316
  63  800.  365.612
  63  850.  366.693
  63  900.  369.938
  63  950.  374.265
  63 1000.  378.051

   A   KE   XSec
  93    0.  17.586
  93   50.  803.573
  93  100.  1002.71
  93  150.  733.173
  93  200.  503.741
  93  250.  603.451
  93  300.  572.318
  93  350.  562.922
  93  400.  560.818
  93  450.  552.404
  93  500.  538.52
  93  550.  520.289
  93  600.  499.954
  93  650.  492.942
  93  700.  484.528
  93  750.  477.516
  93  800.  474.01
  93  850.  475.412
  93  900.  479.619
  93  950.  485.229
  93 1000.  490.137

   A   KE   XSec
 120    0.  20.8435
 120   50.  952.418
 120  100.  1188.45
 120  150.  868.978
 120  200.  597.048
 120  250.  715.228
 120  300.  678.328
 120  350.  667.192
 120  400.  664.698
 120  450.  654.725
 120  500.  638.27
 120  550.  616.662
 120  600.  592.561
 120  650.  584.25
 120  700.  574.277
 120  750.  565.966
 120  800.  561.811
 120  850.  563.473
 120  900.  568.459
 120  950.  575.108
 120 1000.  580.925

   A   KE   XSec
 208    0.  30.0769
 208   50.  1374.33
 208  100.  1714.91
 208  150.  1253.92
 208  200.  861.534
 208  250.  1032.07
 208  300.  978.819
 208  350.  962.749
 208  400.  959.152
 208  450.  944.761
 208  500.  921.016
 208  550.  889.836
 208  600.  855.058
 208  650.  843.065
 208  700.  828.674
 208  750.  816.682
 208  800.  810.686
 208  850.  813.084
 208  900.  820.28
 208  950.  829.874
 208 1000.  838.268

   A   KE   XSec
 209    0.  30.1733
 209   50.  1378.73
 209  100.  1720.4
 209  150.  1257.94
 209  200.  864.293
 209  250.  1035.37
 209  300.  981.954
 209  350.  965.833
 209  400.  962.224
 209  450.  947.787
 209  500.  923.966
 209  550.  892.686
 209  600.  857.796
 209  650.  845.765
 209  700.  831.328
 209  750.  819.298
 209  800.  813.282
 209  850.  815.688
 209  900.  822.907
 209  950.  832.531
 209 1000.  840.953
