## pi+ -> ni-58
## File generated by MakeTextFiles.cxx
## KE    inelas_xs  
0        37.5603       
50       86.3886       
100      144.02        
150      130.487       
200      97.1053       
250      80.44         
300      71.1553       
350      67.4599       
400      66.6921       
450      67.3268       
500      68.4016       
550      65.7708       
600      58.9327       
650      51.6134       
700      47.3857       
750      46.5053       
800      47.1195       
850      47.3243       
900      46.0037       
950      43.9154       
1000     42.2469       
