## pi+ -> ho-165
## File generated by MakeTextFiles.cxx
## KE    inelas_xs  
0        57.0625       
50       131.244       
100      289.153       
150      261.982       
200      194.961       
250      161.501       
300      142.86        
350      135.441       
400      133.899       
450      135.174       
500      137.332       
550      132.05        
600      118.321       
650      103.626       
700      95.1374       
750      93.3699       
800      94.603        
850      95.0141       
900      92.3628       
950      88.1701       
1000     84.82         
